Time(s),S21(MAG),S21(DEG)
5607.36,1.006961,-0.82652485
5616,1.0067706,-0.73693019
5624.64,1.0060022,-0.97146219
5633.28,1.0057434,-0.73182619
5641.92,1.0028769,-1.0017362
5650.56,1.003065,-0.97255814
5659.2,1.0028659,-0.9798075
5667.84,1.0019665,-0.98660886
5676.48,1.0039027,-0.96845412
5685.12,1.0038847,-1.0269455
5693.76,1.0052302,-0.76326072
5702.4,1.0070732,-0.90854865
5711.04,1.0067359,-0.90107572
5719.68,1.0063055,-0.9835338
5728.32,1.0044328,-0.87031376
5736.96,1.0036324,-0.94195449
5745.6,1.0030136,-1.2302362
5754.24,1.0032899,-1.0382552
5762.88,1.0036783,-1.1233581
5771.52,1.0035585,-1.1284611
5780.16,1.0041918,-0.97904146
5788.8,1.0033917,-1.0099981
5797.44,1.0047833,-1.1348314
5806.08,1.0032499,-0.99065685
5814.72,1.0031627,-1.1304443
5823.36,1.0057254,-1.0829954
5832,1.0062596,-1.0505005
5840.64,1.0049776,-0.96808499
5849.28,1.0038472,-1.2064896
5857.92,1.0035914,-1.0716844
5866.56,1.0038502,-1.1263182
5875.2,1.0063426,-1.0423433
5883.84,1.0057645,-0.92872292
5892.48,1.0065707,-1.0748364
5901.12,1.0051286,-1.0104711
5909.76,1.007683,-0.84045935
5918.4,1.0070204,-1.1187593
5927.04,1.0026803,-1.2034103
5935.68,1.0020227,-1.1161855
5944.32,1.0046681,-1.1154202
5952.96,1.0035278,-1.2160984
5961.6,1.001574,-1.2388244
5970.24,1.0047021,-1.1881343
5978.88,1.0013089,-1.1420877
5987.52,1.0052078,-1.0410281
5996.16,1.006266,-0.92429632
6004.8,1.0064247,-0.918733
6013.44,1.0084231,-1.0688335
6022.08,1.0058899,-0.94295973
6030.72,1.0063667,-0.94818342
6039.36,1.0071379,-1.0694472
6048,1.0043361,-0.90537459
6056.64,1.0058887,-0.96923298
6065.28,1.0061486,-1.0521945
6073.92,1.0018741,-1.0107419
6082.56,1.0034921,-0.93041509
6091.2,1.0017765,-1.0580438
6099.84,1.0032959,-0.99984175
6108.48,1.0037767,-1.0333984
6117.12,1.0038431,-1.0861355
6125.76,1.0041629,-1.0069326
6134.4,1.0023224,-0.91849768
6143.04,1.0041206,-1.0191715
6151.68,1.0047203,-1.0444454
6160.32,1.0028715,-0.83416808
6168.96,1.0054446,-0.77831441
6177.6,1.0081118,-0.77798975
6186.24,1.0054015,-0.72068077
6194.88,1.0058258,-0.82078964
6203.52,1.0060498,-0.74709189
6212.16,1.0057945,-0.71826321
6220.8,1.0029975,-0.76382232
6229.44,1.0049515,-0.750889
6238.08,1.0036693,-0.85795993
6246.72,1.003354,-0.7830354
6255.36,1.0029757,-0.86093181
6264,1.0011787,-0.99548513
6272.64,1.0049303,-0.77815533
6281.28,1.0044527,-0.6342603
6289.92,1.006636,-0.77463728
6298.56,1.0057489,-0.56425261
6307.2,1.0064943,-0.60314316
6315.84,1.0047472,-0.6950174
6324.48,1.0066303,-0.62981516
6333.12,1.0057327,-0.60417467
6341.76,1.0053394,-0.71878809
6350.4,1.0052115,-0.75483483
6359.04,1.0060506,-0.73263896
6367.68,1.0065632,-0.80102855
6376.32,1.0032476,-0.80390769
6384.96,1.0028974,-0.89947468
6393.6,1.003624,-0.81963557
6402.24,1.001251,-0.80541569
6410.88,1.0060393,-0.81600964
6419.52,1.0026263,-0.72628176
6428.16,1.0030552,-0.73407787
