Time(s),S21(MAG),S21(DEG)
2070,0.99602807,-16.710049
2073.6,0.99706018,-16.635288
2077.2,1.0003296,-16.593573
2080.8,0.99793881,-16.490011
2084.4,1.0016235,-16.578161
2088,0.99914831,-16.684155
2091.6,0.99789417,-16.674559
2095.2,0.99581349,-16.606125
2098.8,0.99639088,-16.834829
2102.4,0.99723285,-16.65028
2106,0.99786925,-16.839457
2109.6,0.9999252,-16.829107
2113.2,0.99905485,-16.821974
2116.8,0.99988627,-16.946232
2120.4,1.0007002,-16.822838
2124,0.99658418,-16.95606
2127.6,0.9975332,-17.077711
2131.2,0.99526197,-17.061081
2134.8,0.9998467,-17.040039
2138.4,0.99896711,-17.082724
2142,0.99799812,-17.060768
2145.6,0.9992891,-17.239851
2149.2,0.99695975,-17.240999
2152.8,0.99907291,-17.299553
2156.4,0.99769968,-17.352455
2160,0.99893439,-17.397839
2163.6,0.99952406,-17.503531
2167.2,0.99970561,-17.359667
2170.8,0.99858767,-17.495832
2174.4,0.99862969,-17.597029
2178,0.99776334,-17.60652
2181.6,0.99640417,-17.635269
2185.2,0.99819809,-17.534056
2188.8,0.99905425,-17.597221
2192.4,0.99822158,-17.553537
2196,1.0006664,-17.642542
2199.6,0.99792188,-17.681229
2203.2,0.99899989,-17.613411
2206.8,0.99846476,-17.731041
2210.4,0.99924719,-17.764206
2214,0.99957788,-17.781254
2217.6,0.99590725,-17.890688
2221.2,0.99717605,-17.903633
2224.8,0.99894583,-18.006401
2228.4,0.9971801,-17.812689
2232,0.999084,-17.993057
2235.6,0.99875504,-17.940865
2239.2,0.99801099,-17.976593
2242.8,0.99648511,-17.98605
2246.4,0.99823087,-17.957806
2250,0.99944872,-18.064259
2253.6,0.99819797,-18.082323
2257.2,0.99998707,-18.040583
2260.8,1.0000706,-18.161154
2264.4,1.0009061,-18.130255
2268,0.9984324,-18.090853
2271.6,0.99980116,-18.235794
2275.2,0.99949014,-18.20982
2278.8,0.99996269,-18.234152
2282.4,0.99887401,-18.341297
2286,0.99879748,-18.21413
2289.6,0.99773413,-18.248169
2293.2,0.99933875,-18.480251
2296.8,0.99723357,-18.385887
2300.4,1.0002271,-18.303043
2304,0.99794322,-18.450422
2307.6,0.99771851,-18.435053
2311.2,0.99831539,-18.289328
